key	en_us	non_is	note
commands.test.error.test_instance_not_found.position	commands.test.error.test_instance_not_found.position	commands.test.error.test_instance_not_found.position	review needed
commands.test.error.too_large	commands.test.error.too_large	commands.test.error.too_large	review needed
commands.test.locate.done	commands.test.locate.done	commands.test.locate.done	review needed
commands.test.locate.found	commands.test.locate.found	commands.test.locate.found	review needed
commands.test.locate.started	commands.test.locate.started	commands.test.locate.started	review needed
commands.test.no_tests	commands.test.no_tests	commands.test.no_tests	review needed
commands.test.relative_position	commands.test.relative_position	commands.test.relative_position	review needed
commands.test.reset.error.no_tests	commands.test.reset.error.no_tests	commands.test.reset.error.no_tests	review needed
commands.test.reset.success	commands.test.reset.success	commands.test.reset.success	review needed
commands.test.run.no_tests	commands.test.run.no_tests	commands.test.run.no_tests	review needed
commands.test.run.running	commands.test.run.running	commands.test.run.running	review needed
commands.test.summary	commands.test.summary	commands.test.summary	review needed
commands.test.summary.all_required_passed	commands.test.summary.all_required_passed	commands.test.summary.all_required_passed	review needed
commands.test.summary.failed	commands.test.summary.failed	commands.test.summary.failed	review needed
commands.test.summary.optional_failed	commands.test.summary.optional_failed	commands.test.summary.optional_failed	review needed
commands.tick.query.percentiles	commands.tick.query.percentiles	commands.tick.query.percentiles	review needed
commands.tick.query.rate.running	commands.tick.query.rate.running	commands.tick.query.rate.running	review needed
commands.tick.query.rate.sprinting	commands.tick.query.rate.sprinting	commands.tick.query.rate.sprinting	review needed
commands.tick.rate.success	commands.tick.rate.success	commands.tick.rate.success	review needed
commands.tick.sprint.report	commands.tick.sprint.report	commands.tick.sprint.report	review needed
commands.tick.sprint.stop.fail	commands.tick.sprint.stop.fail	commands.tick.sprint.stop.fail	review needed
commands.tick.sprint.stop.success	commands.tick.sprint.stop.success	commands.tick.sprint.stop.success	review needed
commands.tick.status.frozen	commands.tick.status.frozen	commands.tick.status.frozen	review needed
commands.tick.status.lagging	commands.tick.status.lagging	commands.tick.status.lagging	review needed
commands.tick.status.running	commands.tick.status.running	commands.tick.status.running	review needed
commands.tick.status.sprinting	commands.tick.status.sprinting	commands.tick.status.sprinting	review needed
commands.tick.step.fail	commands.tick.step.fail	commands.tick.step.fail	review needed
commands.tick.step.stop.fail	commands.tick.step.stop.fail	commands.tick.step.stop.fail	review needed
commands.tick.step.stop.success	commands.tick.step.stop.success	commands.tick.step.stop.success	review needed
commands.tick.step.success	commands.tick.step.success	commands.tick.step.success	review needed
commands.time.no_default_clock	commands.time.no_default_clock	commands.time.no_default_clock	review needed
commands.time.no_time_marker_found	commands.time.no_time_marker_found	commands.time.no_time_marker_found	review needed
commands.time.pause	commands.time.pause	commands.time.pause	review needed
commands.time.query	The time is %s	The time is %s	review needed
commands.time.query.absolute	commands.time.query.absolute	commands.time.query.absolute	review needed
commands.time.query.gametime	commands.time.query.gametime	commands.time.query.gametime	review needed
commands.time.query.timeline	commands.time.query.timeline	commands.time.query.timeline	review needed
commands.time.query.timeline.repetitions	commands.time.query.timeline.repetitions	commands.time.query.timeline.repetitions	review needed
commands.time.rate	commands.time.rate	commands.time.rate	review needed
commands.time.resume	commands.time.resume	commands.time.resume	review needed
commands.time.set	Set the time to %s	Set the time to %s	review needed
commands.time.set.absolute	commands.time.set.absolute	commands.time.set.absolute	review needed
commands.time.set.time_marker	commands.time.set.time_marker	commands.time.set.time_marker	review needed
commands.time.wrong_timeline_for_clock	commands.time.wrong_timeline_for_clock	commands.time.wrong_timeline_for_clock	review needed
commands.title.cleared.multiple	Cleared titles for %s players	Cleared titles for %s players	review needed
commands.title.cleared.single	Cleared titles for %s	Cleared titles for %s	review needed
commands.title.reset.multiple	Reset title options for %s players	Reset title options for %s players	review needed
commands.title.reset.single	Reset title options for %s	Reset title options for %s	review needed
commands.title.show.actionbar.multiple	Showing new actionbar title for %s players	Showing new actionbar title for %s players	review needed
commands.title.show.actionbar.single	Showing new actionbar title for %s	Showing new actionbar title for %s	review needed
commands.title.show.subtitle.multiple	Showing new subtitle for %s players	Showing new subtitle for %s players	review needed
commands.title.show.subtitle.single	Showing new subtitle for %s	Showing new subtitle for %s	review needed
commands.title.show.title.multiple	Showing new title for %s players	Showing new title for %s players	review needed
commands.title.show.title.single	Showing new title for %s	Showing new title for %s	review needed
commands.title.times.multiple	Changed title display times for %s players	Changed title display times for %s players	review needed
commands.title.times.single	Changed title display times for %s	Changed title display times for %s	review needed
commands.transfer.error.no_players	commands.transfer.error.no_players	commands.transfer.error.no_players	review needed
commands.transfer.success.multiple	commands.transfer.success.multiple	commands.transfer.success.multiple	review needed
commands.transfer.success.single	commands.transfer.success.single	commands.transfer.success.single	review needed
commands.trigger.add.success	Triggered %s (added %s to value)	Triggered %s (added %s to value)	review needed
commands.trigger.failed.invalid	You can only trigger objectives that are 'trigger' type	You can only trigger objectives that are 'trigger' type	review needed
commands.trigger.failed.unprimed	You cannot trigger this objective yet	You cannot trigger this objective yet	review needed
commands.trigger.set.success	Triggered %s (set value to %s)	Triggered %s (set value to %s)	review needed
commands.trigger.simple.success	Triggered %s	Triggered %s	review needed
commands.version.build_time	commands.version.build_time	commands.version.build_time	review needed
commands.version.data	commands.version.data	commands.version.data	review needed
commands.version.header	commands.version.header	commands.version.header	review needed
commands.version.id	commands.version.id	commands.version.id	review needed
commands.version.name	commands.version.name	commands.version.name	review needed
commands.version.pack.data	commands.version.pack.data	commands.version.pack.data	review needed
commands.version.pack.resource	commands.version.pack.resource	commands.version.pack.resource	review needed
commands.version.protocol	commands.version.protocol	commands.version.protocol	review needed
commands.version.series	commands.version.series	commands.version.series	review needed
commands.version.stable.no	commands.version.stable.no	commands.version.stable.no	review needed
commands.version.stable.yes	commands.version.stable.yes	commands.version.stable.yes	review needed
commands.waypoint.list.empty	commands.waypoint.list.empty	commands.waypoint.list.empty	review needed
commands.waypoint.list.success	commands.waypoint.list.success	commands.waypoint.list.success	review needed
commands.waypoint.modify.color	commands.waypoint.modify.color	commands.waypoint.modify.color	review needed
commands.waypoint.modify.color.reset	commands.waypoint.modify.color.reset	commands.waypoint.modify.color.reset	review needed
commands.waypoint.modify.style	commands.waypoint.modify.style	commands.waypoint.modify.style	review needed
commands.weather.set.clear	Set the weather to clear	Set the weather to clear	review needed
commands.weather.set.rain	Set the weather to rain	Set the weather to rain	review needed
commands.weather.set.thunder	Set the weather to rain & thunder	Set the weather to rain & thunder	review needed
commands.whitelist.add.failed	Player is already whitelisted	Player is already whitelisted	review needed
commands.whitelist.add.success	Added %s to the whitelist	Added %s to the whitelist	review needed
commands.whitelist.alreadyOff	Whitelist is already turned off	Whitelist is already turned off	review needed
commands.whitelist.alreadyOn	Whitelist is already turned on	Whitelist is already turned on	review needed
commands.whitelist.disabled	Whitelist is now turned off	Whitelist is now turned off	review needed
commands.whitelist.enabled	Whitelist is now turned on	Whitelist is now turned on	review needed
commands.whitelist.list	There are %s whitelisted player(s): %s	There are %s whitelisted player(s): %s	review needed
commands.whitelist.none	There are no whitelisted players	There are no whitelisted players	review needed
commands.whitelist.reloaded	Reloaded the whitelist	Reloaded the whitelist	review needed
commands.whitelist.remove.failed	Player is not whitelisted	Player is not whitelisted	review needed
commands.whitelist.remove.success	Removed %s from the whitelist	Removed %s from the whitelist	review needed
commands.worldborder.center.failed	Nothing changed. The world border is already centered there	Nothing changed. The world border is already centered there	review needed
commands.worldborder.center.success	Set the center of the world border to %s, %s	Set the center of the world border to %s, %s	review needed
commands.worldborder.damage.amount.failed	Nothing changed. The world border damage is already that amount	Nothing changed. The world border damage is already that amount	review needed
commands.worldborder.damage.amount.success	Set the world border damage to %s per block each second	Set the world border damage to %s per block each second	review needed
commands.worldborder.damage.buffer.failed	Nothing changed. The world border damage buffer is already that distance	Nothing changed. The world border damage buffer is already that distance	review needed
commands.worldborder.damage.buffer.success	Set the world border damage buffer to %s block(s)	Set the world border damage buffer to %s block(s)	review needed
commands.worldborder.get	The world border is currently %s block(s) wide	The world border is currently %s block(s) wide	review needed
commands.worldborder.set.failed.big	World border cannot be bigger than %s blocks wide	World border cannot be bigger than %s blocks wide	review needed
commands.worldborder.set.failed.far	World border cannot be further out than %s blocks	World border cannot be further out than %s blocks	review needed
commands.worldborder.set.failed.nochange	Nothing changed. The world border is already that size	Nothing changed. The world border is already that size	review needed
commands.worldborder.set.failed.small	World border cannot be smaller than 1 block wide	World border cannot be smaller than 1 block wide	review needed
commands.worldborder.set.grow	Growing the world border to %s blocks wide over %s seconds	Growing the world border to %s blocks wide over %s seconds	review needed
commands.worldborder.set.immediate	Set the world border to %s block(s) wide	Set the world border to %s block(s) wide	review needed
commands.worldborder.set.shrink	Shrinking the world border to %s block(s) wide over %s second(s)	Shrinking the world border to %s block(s) wide over %s second(s)	review needed
commands.worldborder.warning.distance.failed	Nothing changed. The world border warning is already that distance	Nothing changed. The world border warning is already that distance	review needed
commands.worldborder.warning.distance.success	Set the world border warning distance to %s block(s)	Set the world border warning distance to %s block(s)	review needed
commands.worldborder.warning.time.failed	Nothing changed. The world border warning is already that amount of time	Nothing changed. The world border warning is already that amount of time	review needed
commands.worldborder.warning.time.success	Set the world border warning time to %s second(s)	Set the world border warning time to %s second(s)	review needed
compliance.playtime.greaterThan24Hours	You've been playing for greater than 24 hours	You've been playing for greater than 24 hours	review needed
compliance.playtime.hours	You've been playing for %s hour(s)	You've been playing for %s hour(s)	review needed
compliance.playtime.message	Excessive gaming may interfere with normal daily life	Excessive gaming may interfere with normal daily life	review needed
component.profile.dynamic	component.profile.dynamic	component.profile.dynamic	review needed
connect.aborted	Aborted	Aborted	review needed
connect.failed	Failed to connect to the server	Failed to connect to the server	review needed
connect.failed.transfer	connect.failed.transfer	connect.failed.transfer	review needed
connect.joining	Joining world...	Joining world...	review needed
connect.negotiating	Negotiating...	Negotiating...	review needed
connect.reconfiging	connect.reconfiging	connect.reconfiging	review needed
connect.reconfiguring	connect.reconfiguring	connect.reconfiguring	review needed
connect.transferring	connect.transferring	connect.transferring	review needed
container.barrel	Barrel	Barrel	review needed
container.beacon	Beacon	Beacon	review needed
container.beehive.bees	container.beehive.bees	container.beehive.bees	review needed
container.beehive.honey	container.beehive.honey	container.beehive.honey	review needed
container.blast_furnace	Blast Furnace	Blast Furnace	review needed
container.brewing	Brewing Stand	Brewing Stand	review needed
container.cartography_table	Cartography Table	Cartography Table	review needed
container.chest	Chest	Chest	review needed
container.chestDouble	Large Chest	Large Chest	review needed
container.crafter	container.crafter	container.crafter	review needed
container.crafting	Crafting	Crafting	review needed
container.creative	Item Selection	Item Selection	review needed
container.dispenser	Dispenser	Dispenser	review needed
container.dropper	Dropper	Dropper	review needed
container.enchant	Enchant	Enchant	review needed
container.enchant.clue	%s . . . ?	%s . . . ?	review needed
container.enchant.lapis.many	%s Lapis Lazuli	%s Lapis Lazuli	review needed
container.enchant.lapis.one	1 Lapis Lazuli	1 Lapis Lazuli	review needed
container.enchant.level.many	%s Enchantment Levels	%s Enchantment Levels	review needed
container.enchant.level.one	1 Enchantment Level	1 Enchantment Level	review needed
container.enchant.level.requirement	Level Requirement: %s	Level Requirement: %s	review needed
container.enderchest	Ender Chest	Ender Chest	review needed
container.furnace	Furnace	Furnace	review needed
container.grindstone_title	Repair & Disenchant	Repair & Disenchant	review needed
container.hopper	Item Hopper	Item Hopper	review needed
container.inventory	Inventory	Inventory	review needed
container.isLocked	%s is locked!	%s is locked!	review needed
container.lectern	Lectern	Lectern	review needed
container.loom	Loom	Loom	review needed
container.repair	Repair & Name	Repair & Name	review needed
container.repair.cost	Enchantment Cost: %1$s	Enchantment Cost: %1$s	review needed
container.repair.expensive	Too Expensive!	Too Expensive!	review needed
container.shulkerBox	Shulker Box	Shulker Box	review needed
container.shulkerBox.itemCount	container.shulkerBox.itemCount	container.shulkerBox.itemCount	review needed
container.shulkerBox.more	and %s more...	and %s more...	review needed
container.shulkerBox.unknownContents	container.shulkerBox.unknownContents	container.shulkerBox.unknownContents	review needed
container.smoker	Smoker	Smoker	review needed
container.spectatorCantOpen	Unable to open. Loot not generated yet.	Unable to open. Loot not generated yet.	review needed
container.stonecutter	Stonecutter	Stonecutter	review needed
container.upgrade	Upgrade Gear	Upgrade Gear	review needed
container.upgrade.error_tooltip	Item can't be upgraded this way	Item can't be upgraded this way	review needed
container.upgrade.missing_template_tooltip	Add Smithing Template	Add Smithing Template	review needed
controls.keybinds	Key Binds...	Key Binds...	review needed
controls.keybinds.duplicateKeybinds	"This key is also used for:
%s"	"This key is also used for:
%s"	review needed
controls.keybinds.title	Key Binds	Key Binds	review needed
controls.reset	Reset	Reset	review needed
controls.resetAll	Reset Keys	Reset Keys	review needed
controls.title	Controls	Controls	review needed
createWorld.customize.buffet.biome	Please select a biome	Please select a biome	review needed
createWorld.customize.buffet.search	createWorld.customize.buffet.search	createWorld.customize.buffet.search	review needed
createWorld.customize.buffet.title	Buffet world customization	Buffet world customization	review needed
createWorld.customize.custom.baseSize	Depth Base Size	Depth Base Size	review needed
createWorld.customize.custom.biomeDepthOffset	Biome Depth Offset	Biome Depth Offset	review needed
createWorld.customize.custom.biomeDepthWeight	Biome Depth Weight	Biome Depth Weight	review needed
createWorld.customize.custom.biomeScaleOffset	Biome Scale Offset	Biome Scale Offset	review needed
createWorld.customize.custom.biomeScaleWeight	Biome Scale Weight	Biome Scale Weight	review needed
createWorld.customize.custom.biomeSize	Biome Size	Biome Size	review needed
createWorld.customize.custom.center	Center Height	Center Height	review needed
createWorld.customize.custom.confirm1	This will overwrite your current	This will overwrite your current	review needed
createWorld.customize.custom.confirm2	settings and cannot be undone.	settings and cannot be undone.	review needed
createWorld.customize.custom.confirmTitle	Warning!	Warning!	review needed
createWorld.customize.custom.coordinateScale	Coordinate Scale	Coordinate Scale	review needed
createWorld.customize.custom.count	Spawn Tries	Spawn Tries	review needed
createWorld.customize.custom.defaults	Defaults	Defaults	review needed
createWorld.customize.custom.depthNoiseScaleExponent	Depth Noise Exponent	Depth Noise Exponent	review needed
createWorld.customize.custom.depthNoiseScaleX	Depth Noise Scale X	Depth Noise Scale X	review needed
createWorld.customize.custom.depthNoiseScaleZ	Depth Noise Scale Z	Depth Noise Scale Z	review needed
createWorld.customize.custom.dungeonChance	Dungeon Count	Dungeon Count	review needed
createWorld.customize.custom.fixedBiome	Biome	Biome	review needed
createWorld.customize.custom.heightScale	Height Scale	Height Scale	review needed
createWorld.customize.custom.lavaLakeChance	Lava Lake Rarity	Lava Lake Rarity	review needed
createWorld.customize.custom.lowerLimitScale	Lower Limit Scale	Lower Limit Scale	review needed
createWorld.customize.custom.mainNoiseScaleX	Main Noise Scale X	Main Noise Scale X	review needed
createWorld.customize.custom.mainNoiseScaleY	Main Noise Scale Y	Main Noise Scale Y	review needed
createWorld.customize.custom.mainNoiseScaleZ	Main Noise Scale Z	Main Noise Scale Z	review needed
createWorld.customize.custom.maxHeight	Max. Height	Max. Height	review needed
createWorld.customize.custom.minHeight	Min. Height	Min. Height	review needed
createWorld.customize.custom.next	Next Page	Next Page	review needed
createWorld.customize.custom.page0	Basic Settings	Basic Settings	review needed
createWorld.customize.custom.page1	Ore Settings	Ore Settings	review needed
createWorld.customize.custom.page2	Advanced Settings (Expert Users Only!)	Advanced Settings (Expert Users Only!)	review needed
createWorld.customize.custom.page3	Extra Advanced Settings (Expert Users Only!)	Extra Advanced Settings (Expert Users Only!)	review needed
createWorld.customize.custom.preset.caveChaos	Caves of Chaos	Caves of Chaos	review needed
createWorld.customize.custom.preset.caveDelight	Caver's Delight	Caver's Delight	review needed
createWorld.customize.custom.preset.drought	Drought	Drought	review needed
createWorld.customize.custom.preset.goodLuck	Good Luck	Good Luck	review needed
createWorld.customize.custom.preset.isleLand	Isle Land	Isle Land	review needed
createWorld.customize.custom.preset.mountains	Mountain Madness	Mountain Madness	review needed
createWorld.customize.custom.preset.waterWorld	Water World	Water World	review needed
createWorld.customize.custom.presets	Presets	Presets	review needed
createWorld.customize.custom.presets.title	Customize World Presets	Customize World Presets	review needed
createWorld.customize.custom.prev	Previous Page	Previous Page	review needed
createWorld.customize.custom.randomize	Randomize	Randomize	review needed
createWorld.customize.custom.riverSize	River Size	River Size	review needed
createWorld.customize.custom.seaLevel	Sea Level	Sea Level	review needed
createWorld.customize.custom.size	Spawn Size	Spawn Size	review needed
createWorld.customize.custom.spread	Spread Height	Spread Height	review needed
createWorld.customize.custom.stretchY	Height Stretch	Height Stretch	review needed
createWorld.customize.custom.upperLimitScale	Upper Limit Scale	Upper Limit Scale	review needed
createWorld.customize.custom.useCaves	Caves	Caves	review needed
createWorld.customize.custom.useDungeons	Dungeons	Dungeons	review needed
createWorld.customize.custom.useLavaLakes	Lava Lakes	Lava Lakes	review needed
createWorld.customize.custom.useLavaOceans	Lava Oceans	Lava Oceans	review needed
createWorld.customize.custom.useMansions	Woodland Mansions	Woodland Mansions	review needed
createWorld.customize.custom.useMineShafts	Mineshafts	Mineshafts	review needed
createWorld.customize.custom.useMonuments	Ocean Monuments	Ocean Monuments	review needed
createWorld.customize.custom.useOceanRuins	Ocean Ruins	Ocean Ruins	review needed
createWorld.customize.custom.useRavines	Ravines	Ravines	review needed
createWorld.customize.custom.useStrongholds	Strongholds	Strongholds	review needed
createWorld.customize.custom.useTemples	Temples	Temples	review needed
createWorld.customize.custom.useVillages	Villages	Villages	review needed
createWorld.customize.custom.useWaterLakes	Water Lakes	Water Lakes	review needed
createWorld.customize.custom.waterLakeChance	Water Lake Rarity	Water Lake Rarity	review needed
createWorld.customize.flat.height	Height	Height	review needed
createWorld.customize.flat.layer	%s	%s	review needed
createWorld.customize.flat.layer.bottom	Bottom - %s	Bottom - %s	review needed
createWorld.customize.flat.layer.top	Top - %s	Top - %s	review needed
createWorld.customize.flat.removeLayer	Remove Layer	Remove Layer	review needed
createWorld.customize.flat.tile	Layer Material	Layer Material	review needed
createWorld.customize.flat.title	Superflat Customization	Superflat Customization	review needed
createWorld.customize.presets	Presets	Presets	review needed
createWorld.customize.presets.list	Alternatively, here's some we made earlier!	Alternatively, here's some we made earlier!	review needed
createWorld.customize.presets.select	Use Preset	Use Preset	review needed
createWorld.customize.presets.share	Want to share your preset with someone? Use the box below!	Want to share your preset with someone? Use the box below!	review needed
createWorld.customize.presets.title	Select a Preset	Select a Preset	review needed
createWorld.preparing	Preparing for world creation...	Preparing for world creation...	review needed
createWorld.tab.game.title	Game	Game	review needed
createWorld.tab.more.title	More	More	review needed
createWorld.tab.world.title	World	World	review needed
credits_and_attribution.button.attribution	Attribution	Attribution	review needed
credits_and_attribution.button.credits	Credits	Credits	review needed
credits_and_attribution.button.licenses	Licenses	Licenses	review needed
credits_and_attribution.screen.title	Credits and Attribution	Credits and Attribution	review needed
dataPack.bundle.description	Enables experimental Bundle item	Enables experimental Bundle item	review needed
dataPack.bundle.name	Bundles	Bundles	review needed
dataPack.locator_bar.description	dataPack.locator_bar.description	dataPack.locator_bar.description	review needed
dataPack.locator_bar.name	dataPack.locator_bar.name	dataPack.locator_bar.name	review needed
dataPack.minecart_improvements.description	dataPack.minecart_improvements.description	dataPack.minecart_improvements.description	review needed
dataPack.minecart_improvements.name	dataPack.minecart_improvements.name	dataPack.minecart_improvements.name	review needed
dataPack.redstone_experiments.description	dataPack.redstone_experiments.description	dataPack.redstone_experiments.description	review needed
dataPack.redstone_experiments.name	dataPack.redstone_experiments.name	dataPack.redstone_experiments.name	review needed
dataPack.title	Select Data Packs	Select Data Packs	review needed
dataPack.trade_rebalance.description	dataPack.trade_rebalance.description	dataPack.trade_rebalance.description	review needed
dataPack.trade_rebalance.name	dataPack.trade_rebalance.name	dataPack.trade_rebalance.name	review needed
dataPack.update_1_20.description	New features and content for Minecraft 1.20	New features and content for Minecraft 1.20	review needed
dataPack.update_1_20.name	Update 1.20	Update 1.20	review needed
dataPack.update_1_21.description	dataPack.update_1_21.description	dataPack.update_1_21.description	review needed
dataPack.update_1_21.name	dataPack.update_1_21.name	dataPack.update_1_21.name	review needed
dataPack.validation.back	Go Back	Go Back	review needed
dataPack.validation.failed	Data pack validation failed!	Data pack validation failed!	review needed
dataPack.validation.reset	Reset to Default	Reset to Default	review needed
dataPack.validation.working	Validating selected data packs...	Validating selected data packs...	review needed
dataPack.vanilla.description	The default data for Minecraft	The default data for Minecraft	review needed
dataPack.vanilla.name	Default	Default	review needed
dataPack.winter_drop.description	dataPack.winter_drop.description	dataPack.winter_drop.description	review needed
dataPack.winter_drop.name	dataPack.winter_drop.name	dataPack.winter_drop.name	review needed
datapackFailure.safeMode	Safe Mode	Safe Mode	review needed
datapackFailure.safeMode.failed.description	This world contains invalid or corrupted save data.	This world contains invalid or corrupted save data.	review needed
datapackFailure.safeMode.failed.title	Failed to load world in Safe Mode.	Failed to load world in Safe Mode.	review needed
datapackFailure.title	"Errors in currently selected data packs prevented the world from loading.
You can either try to load it with only the vanilla data pack (""safe mode""), or go back to the title screen and fix it manually."	"Errors in currently selected data packs prevented the world from loading.
You can either try to load it with only the vanilla data pack (""safe mode""), or go back to the title screen and fix it manually."	review needed
death.attack.anvil	%1$s was squashed by a falling anvil	%1$s was squashed by a falling anvil	review needed
death.attack.anvil.player	%1$s was squashed by a falling anvil whilst fighting %2$s	%1$s was squashed by a falling anvil whilst fighting %2$s	review needed
death.attack.arrow	%1$s was shot by %2$s	%1$s was shot by %2$s	review needed
death.attack.arrow.item	%1$s was shot by %2$s using %3$s	%1$s was shot by %2$s using %3$s	review needed
death.attack.badRespawnPoint.link	Intentional Game Design	Intentional Game Design	review needed
death.attack.badRespawnPoint.message	%1$s was killed by %2$s	%1$s was killed by %2$s	review needed
death.attack.cactus	%1$s was pricked to death	%1$s was pricked to death	review needed
death.attack.cactus.player	%1$s walked into a cactus whilst trying to escape %2$s	%1$s walked into a cactus whilst trying to escape %2$s	review needed
death.attack.cramming	%1$s was squished too much	%1$s was squished too much	review needed
death.attack.cramming.player	%1$s was squashed by %2$s	%1$s was squashed by %2$s	review needed
death.attack.dragonBreath	%1$s was roasted in dragon's breath	%1$s was roasted in dragon's breath	review needed
death.attack.dragonBreath.player	%1$s was roasted in dragon's breath by %2$s	%1$s was roasted in dragon's breath by %2$s	review needed
death.attack.drown	%1$s drowned	%1$s drowned	review needed
death.attack.drown.player	%1$s drowned whilst trying to escape %2$s	%1$s drowned whilst trying to escape %2$s	review needed
death.attack.dryout	%1$s died from dehydration	%1$s died from dehydration	review needed
death.attack.dryout.player	%1$s died from dehydration whilst trying to escape %2$s	%1$s died from dehydration whilst trying to escape %2$s	review needed
death.attack.even_more_magic	%1$s was killed by even more magic	%1$s was killed by even more magic	review needed
death.attack.explosion	%1$s blew up	%1$s blew up	review needed
death.attack.explosion.player	%1$s was blown up by %2$s	%1$s was blown up by %2$s	review needed
death.attack.explosion.player.item	%1$s was blown up by %2$s using %3$s	%1$s was blown up by %2$s using %3$s	review needed
death.attack.fall	%1$s hit the ground too hard	%1$s hit the ground too hard	review needed
death.attack.fall.player	%1$s hit the ground too hard whilst trying to escape %2$s	%1$s hit the ground too hard whilst trying to escape %2$s	review needed
death.attack.fallingBlock	%1$s was squashed by a falling block	%1$s was squashed by a falling block	review needed
death.attack.fallingBlock.player	%1$s was squashed by a falling block whilst fighting %2$s	%1$s was squashed by a falling block whilst fighting %2$s	review needed
death.attack.fallingStalactite	%1$s was skewered by a falling stalactite	%1$s was skewered by a falling stalactite	review needed
death.attack.fallingStalactite.player	%1$s was skewered by a falling stalactite whilst fighting %2$s	%1$s was skewered by a falling stalactite whilst fighting %2$s	review needed
death.attack.fireball	%1$s was fireballed by %2$s	%1$s was fireballed by %2$s	review needed
death.attack.fireball.item	%1$s was fireballed by %2$s using %3$s	%1$s was fireballed by %2$s using %3$s	review needed
death.attack.fireworks	%1$s went off with a bang	%1$s went off with a bang	review needed
death.attack.fireworks.item	%1$s went off with a bang due to a firework fired from %3$s by %2$s	%1$s went off with a bang due to a firework fired from %3$s by %2$s	review needed
death.attack.fireworks.player	%1$s went off with a bang whilst fighting %2$s	%1$s went off with a bang whilst fighting %2$s	review needed
death.attack.flyIntoWall	%1$s experienced kinetic energy	%1$s experienced kinetic energy	review needed
death.attack.flyIntoWall.player	%1$s experienced kinetic energy whilst trying to escape %2$s	%1$s experienced kinetic energy whilst trying to escape %2$s	review needed
death.attack.freeze	%1$s froze to death	%1$s froze to death	review needed
death.attack.freeze.player	%1$s was frozen to death by %2$s	%1$s was frozen to death by %2$s	review needed
death.attack.generic	{arg0} died	{arg0} died	review needed
death.attack.generic.player	%1$s died because of %2$s	%1$s died because of %2$s	review needed
death.attack.genericKill	%1$s was killed	%1$s was killed	review needed
death.attack.genericKill.player	%1$s was killed whilst fighting %2$s	%1$s was killed whilst fighting %2$s	review needed
death.attack.hotFloor	%1$s discovered the floor was lava	%1$s discovered the floor was lava	review needed
death.attack.hotFloor.player	%1$s walked into the danger zone due to %2$s	%1$s walked into the danger zone due to %2$s	review needed
death.attack.inFire	%1$s went up in flames	%1$s went up in flames	review needed
death.attack.inFire.player	%1$s walked into fire whilst fighting %2$s	%1$s walked into fire whilst fighting %2$s	review needed
death.attack.inWall	%1$s suffocated in a wall	%1$s suffocated in a wall	review needed
death.attack.inWall.player	%1$s suffocated in a wall whilst fighting %2$s	%1$s suffocated in a wall whilst fighting %2$s	review needed
death.attack.indirectMagic	%1$s was killed by %2$s using magic	%1$s was killed by %2$s using magic	review needed
death.attack.indirectMagic.item	%1$s was killed by %2$s using %3$s	%1$s was killed by %2$s using %3$s	review needed
death.attack.lava	%1$s tried to swim in lava	%1$s tried to swim in lava	review needed
death.attack.lava.player	%1$s tried to swim in lava to escape %2$s	%1$s tried to swim in lava to escape %2$s	review needed
death.attack.lightningBolt	%1$s was struck by lightning	%1$s was struck by lightning	review needed
death.attack.lightningBolt.player	%1$s was struck by lightning whilst fighting %2$s	%1$s was struck by lightning whilst fighting %2$s	review needed
death.attack.mace_smash	death.attack.mace_smash	death.attack.mace_smash	review needed
death.attack.mace_smash.item	death.attack.mace_smash.item	death.attack.mace_smash.item	review needed
death.attack.magic	%1$s was killed by magic	%1$s was killed by magic	review needed
death.attack.magic.player	%1$s was killed by magic whilst trying to escape %2$s	%1$s was killed by magic whilst trying to escape %2$s	review needed
death.attack.message_too_long	Actually, the message was too long to deliver fully. Sorry! Here's stripped version: %s	Actually, the message was too long to deliver fully. Sorry! Here's stripped version: %s	review needed
death.attack.mob	%1$s was slain by %2$s	%1$s was slain by %2$s	review needed
death.attack.mob.item	%1$s was slain by %2$s using %3$s	%1$s was slain by %2$s using %3$s	review needed
death.attack.onFire	%1$s burned to death	%1$s burned to death	review needed
death.attack.onFire.item	%1$s was burnt to a crisp whilst fighting %2$s wielding %3$s	%1$s was burnt to a crisp whilst fighting %2$s wielding %3$s	review needed
death.attack.onFire.player	%1$s was burnt to a crisp whilst fighting %2$s	%1$s was burnt to a crisp whilst fighting %2$s	review needed
death.attack.outOfWorld	{arg0} fell out of the world	{arg0} fell out of the world	review needed
death.attack.outOfWorld.player	%1$s didn't want to live in the same world as %2$s	%1$s didn't want to live in the same world as %2$s	review needed
death.attack.outsideBorder	%1$s left the confines of this world	%1$s left the confines of this world	review needed
death.attack.outsideBorder.player	%1$s left the confines of this world whilst fighting %2$s	%1$s left the confines of this world whilst fighting %2$s	review needed
death.attack.player	%1$s was slain by %2$s	%1$s was slain by %2$s	review needed
death.attack.player.item	%1$s was slain by %2$s using %3$s	%1$s was slain by %2$s using %3$s	review needed
death.attack.sonic_boom	%1$s was obliterated by a sonically-charged shriek	%1$s was obliterated by a sonically-charged shriek	review needed
death.attack.sonic_boom.item	%1$s was obliterated by a sonically-charged shriek whilst trying to escape %2$s wielding %3$s	%1$s was obliterated by a sonically-charged shriek whilst trying to escape %2$s wielding %3$s	review needed
