key	en_us	ang	note
minecraft.packet.block.minecraft.pink_tulip	Pink Tulip	Pink Tulip	review needed
minecraft.packet.block.minecraft.pink_wool	Pink Wool	Pink Wool	review needed
minecraft.packet.block.minecraft.piston	Piston	Piston	review needed
minecraft.packet.block.minecraft.piston_head	Piston Head	Piston Head	review needed
minecraft.packet.block.minecraft.pitcher_crop	Pitcher Crop	Pitcher Crop	review needed
minecraft.packet.block.minecraft.pitcher_plant	Pitcher Plant	Pitcher Plant	review needed
minecraft.packet.block.minecraft.player_head._value	Player Head	Player Head	review needed
minecraft.packet.block.minecraft.player_head.named	%s's Head	%s's Head	review needed
minecraft.packet.block.minecraft.player_wall_head	Player Wall Head	Player Wall Head	review needed
minecraft.packet.block.minecraft.podzol	Podzol	Podzol	review needed
minecraft.packet.block.minecraft.pointed_dripstone	Pointed Dripstone	Pointed Dripstone	review needed
minecraft.packet.block.minecraft.polished_andesite	Polished Andesite	Polished Andesite	review needed
minecraft.packet.block.minecraft.polished_andesite_slab	Polished Andesite Slab	Polished Andesite Slab	review needed
minecraft.packet.block.minecraft.polished_andesite_stairs	Polished Andesite Stairs	Polished Andesite Stairs	review needed
minecraft.packet.block.minecraft.polished_basalt	Polished Basalt	Polished Basalt	review needed
minecraft.packet.block.minecraft.polished_blackstone	Polished Blackstone	Polished Blackstone	review needed
minecraft.packet.block.minecraft.polished_blackstone_brick_slab	Polished Blackstone Brick Slab	Polished Blackstone Brick Slab	review needed
minecraft.packet.block.minecraft.polished_blackstone_brick_stairs	Polished Blackstone Brick Stairs	Polished Blackstone Brick Stairs	review needed
minecraft.packet.block.minecraft.polished_blackstone_brick_wall	Polished Blackstone Brick Wall	Polished Blackstone Brick Wall	review needed
minecraft.packet.block.minecraft.polished_blackstone_bricks	Polished Blackstone Bricks	Polished Blackstone Bricks	review needed
minecraft.packet.block.minecraft.polished_blackstone_button	Polished Blackstone Button	Polished Blackstone Button	review needed
minecraft.packet.block.minecraft.polished_blackstone_pressure_plate	Polished Blackstone Pressure Plate	Polished Blackstone Pressure Plate	review needed
minecraft.packet.block.minecraft.polished_blackstone_slab	Polished Blackstone Slab	Polished Blackstone Slab	review needed
minecraft.packet.block.minecraft.polished_blackstone_stairs	Polished Blackstone Stairs	Polished Blackstone Stairs	review needed
minecraft.packet.block.minecraft.polished_blackstone_wall	Polished Blackstone Wall	Polished Blackstone Wall	review needed
minecraft.packet.block.minecraft.polished_deepslate	Polished Deepslate	Polished Deepslate	review needed
minecraft.packet.block.minecraft.polished_deepslate_slab	Polished Deepslate Slab	Polished Deepslate Slab	review needed
minecraft.packet.block.minecraft.polished_deepslate_stairs	Polished Deepslate Stairs	Polished Deepslate Stairs	review needed
minecraft.packet.block.minecraft.polished_deepslate_wall	Polished Deepslate Wall	Polished Deepslate Wall	review needed
minecraft.packet.block.minecraft.polished_diorite	Polished Diorite	Polished Diorite	review needed
minecraft.packet.block.minecraft.polished_diorite_slab	Polished Diorite Slab	Polished Diorite Slab	review needed
minecraft.packet.block.minecraft.polished_diorite_stairs	Polished Diorite Stairs	Polished Diorite Stairs	review needed
minecraft.packet.block.minecraft.polished_granite	Polished Granite	Polished Granite	review needed
minecraft.packet.block.minecraft.polished_granite_slab	Polished Granite Slab	Polished Granite Slab	review needed
minecraft.packet.block.minecraft.polished_granite_stairs	Polished Granite Stairs	Polished Granite Stairs	review needed
minecraft.packet.block.minecraft.poppy	Poppy	Poppy	review needed
minecraft.packet.block.minecraft.potatoes	Potatoes	Potatoes	review needed
minecraft.packet.block.minecraft.potted_acacia_sapling	Potted Acacia Sapling	Potted Acacia Sapling	review needed
minecraft.packet.block.minecraft.potted_allium	Potted Allium	Potted Allium	review needed
minecraft.packet.block.minecraft.potted_azalea_bush	Potted Azalea	Potted Azalea	review needed
minecraft.packet.block.minecraft.potted_azure_bluet	Potted Azure Bluet	Potted Azure Bluet	review needed
minecraft.packet.block.minecraft.potted_bamboo	Potted Bamboo	Potted Bamboo	review needed
minecraft.packet.block.minecraft.potted_birch_sapling	Potted Birch Sapling	Potted Birch Sapling	review needed
minecraft.packet.block.minecraft.potted_blue_orchid	Potted Blue Orchid	Potted Blue Orchid	review needed
minecraft.packet.block.minecraft.potted_brown_mushroom	Potted Brown Mushroom	Potted Brown Mushroom	review needed
minecraft.packet.block.minecraft.potted_cactus	Potted Cactus	Potted Cactus	review needed
minecraft.packet.block.minecraft.potted_cherry_sapling	Potted Cherry Sapling	Potted Cherry Sapling	review needed
minecraft.packet.block.minecraft.potted_cornflower	Potted Cornflower	Potted Cornflower	review needed
minecraft.packet.block.minecraft.potted_crimson_fungus	Potted Crimson Fungus	Potted Crimson Fungus	review needed
minecraft.packet.block.minecraft.potted_crimson_roots	Potted Crimson Roots	Potted Crimson Roots	review needed
minecraft.packet.block.minecraft.potted_dandelion	Potted Dandelion	Potted Dandelion	review needed
minecraft.packet.block.minecraft.potted_dark_oak_sapling	Potted Dark Oak Sapling	Potted Dark Oak Sapling	review needed
minecraft.packet.block.minecraft.potted_dead_bush	Potted Dead Bush	Potted Dead Bush	review needed
minecraft.packet.block.minecraft.potted_fern	Potted Fern	Potted Fern	review needed
minecraft.packet.block.minecraft.potted_flowering_azalea_bush	Potted Flowering Azalea	Potted Flowering Azalea	review needed
minecraft.packet.block.minecraft.potted_jungle_sapling	Potted Jungle Sapling	Potted Jungle Sapling	review needed
minecraft.packet.block.minecraft.potted_lily_of_the_valley	Potted Lily of the Valley	Potted Lily of the Valley	review needed
minecraft.packet.block.minecraft.potted_mangrove_propagule	Potted Mangrove Propagule	Potted Mangrove Propagule	review needed
minecraft.packet.block.minecraft.potted_oak_sapling	Potted Oak Sapling	Potted Oak Sapling	review needed
minecraft.packet.block.minecraft.potted_orange_tulip	Potted Orange Tulip	Potted Orange Tulip	review needed
minecraft.packet.block.minecraft.potted_oxeye_daisy	Potted Oxeye Daisy	Potted Oxeye Daisy	review needed
minecraft.packet.block.minecraft.potted_pink_tulip	Potted Pink Tulip	Potted Pink Tulip	review needed
minecraft.packet.block.minecraft.potted_poppy	Potted Poppy	Potted Poppy	review needed
minecraft.packet.block.minecraft.potted_red_mushroom	Potted Red Mushroom	Potted Red Mushroom	review needed
minecraft.packet.block.minecraft.potted_red_tulip	Potted Red Tulip	Potted Red Tulip	review needed
minecraft.packet.block.minecraft.potted_spruce_sapling	Potted Spruce Sapling	Potted Spruce Sapling	review needed
minecraft.packet.block.minecraft.potted_torchflower	Potted Torchflower	Potted Torchflower	review needed
minecraft.packet.block.minecraft.potted_warped_fungus	Potted Warped Fungus	Potted Warped Fungus	review needed
minecraft.packet.block.minecraft.potted_warped_roots	Potted Warped Roots	Potted Warped Roots	review needed
minecraft.packet.block.minecraft.potted_white_tulip	Potted White Tulip	Potted White Tulip	review needed
minecraft.packet.block.minecraft.potted_wither_rose	Potted Wither Rose	Potted Wither Rose	review needed
minecraft.packet.block.minecraft.powder_snow	Powder Snow	Powder Snow	review needed
minecraft.packet.block.minecraft.powder_snow_cauldron	Powder Snow Cauldron	Powder Snow Cauldron	review needed
minecraft.packet.block.minecraft.powered_rail	Powered Rail	Powered Rail	review needed
minecraft.packet.block.minecraft.prismarine	Prismarine	Prismarine	review needed
minecraft.packet.block.minecraft.prismarine_brick_slab	Prismarine Brick Slab	Prismarine Brick Slab	review needed
minecraft.packet.block.minecraft.prismarine_brick_stairs	Prismarine Brick Stairs	Prismarine Brick Stairs	review needed
minecraft.packet.block.minecraft.prismarine_bricks	Prismarine Bricks	Prismarine Bricks	review needed
minecraft.packet.block.minecraft.prismarine_slab	Prismarine Slab	Prismarine Slab	review needed
minecraft.packet.block.minecraft.prismarine_stairs	Prismarine Stairs	Prismarine Stairs	review needed
minecraft.packet.block.minecraft.prismarine_wall	Prismarine Wall	Prismarine Wall	review needed
minecraft.packet.block.minecraft.pumpkin	Pumpkin	Pumpkin	review needed
minecraft.packet.block.minecraft.pumpkin_stem	Pumpkin Stem	Pumpkin Stem	review needed
minecraft.packet.block.minecraft.purple_banner	Purple Banner	Purple Banner	review needed
minecraft.packet.block.minecraft.purple_bed	Purple Bed	Purple Bed	review needed
minecraft.packet.block.minecraft.purple_candle	Purple Candle	Purple Candle	review needed
minecraft.packet.block.minecraft.purple_candle_cake	Cake with Purple Candle	Cake with Purple Candle	review needed
minecraft.packet.block.minecraft.purple_carpet	Purple Carpet	Purple Carpet	review needed
minecraft.packet.block.minecraft.purple_concrete	Purple Concrete	Purple Concrete	review needed
minecraft.packet.block.minecraft.purple_concrete_powder	Purple Concrete Powder	Purple Concrete Powder	review needed
minecraft.packet.block.minecraft.purple_glazed_terracotta	Purple Glazed Terracotta	Purple Glazed Terracotta	review needed
minecraft.packet.block.minecraft.purple_shulker_box	Purple Shulker Box	Purple Shulker Box	review needed
minecraft.packet.block.minecraft.purple_stained_glass	Purple Stained Glass	Purple Stained Glass	review needed
minecraft.packet.block.minecraft.purple_stained_glass_pane	Purple Stained Glass Pane	Purple Stained Glass Pane	review needed
minecraft.packet.block.minecraft.purple_terracotta	Purple Terracotta	Purple Terracotta	review needed
minecraft.packet.block.minecraft.purple_wool	Purple Wool	Purple Wool	review needed
minecraft.packet.block.minecraft.purpur_block	Purpur Block	Purpur Block	review needed
minecraft.packet.block.minecraft.purpur_pillar	Purpur Pillar	Purpur Pillar	review needed
minecraft.packet.block.minecraft.purpur_slab	Purpur Slab	Purpur Slab	review needed
minecraft.packet.block.minecraft.purpur_stairs	Purpur Stairs	Purpur Stairs	review needed
minecraft.packet.block.minecraft.quartz_block	Block of Quartz	Block of Quartz	review needed
minecraft.packet.block.minecraft.quartz_bricks	Quartz Bricks	Quartz Bricks	review needed
minecraft.packet.block.minecraft.quartz_pillar	Quartz Pillar	Quartz Pillar	review needed
minecraft.packet.block.minecraft.quartz_slab	Quartz Slab	Quartz Slab	review needed
minecraft.packet.block.minecraft.quartz_stairs	Quartz Stairs	Quartz Stairs	review needed
minecraft.packet.block.minecraft.rail	Rail	Rail	review needed
minecraft.packet.block.minecraft.raw_copper_block	Block of Raw Copper	Block of Raw Copper	review needed
minecraft.packet.block.minecraft.raw_gold_block	Block of Raw Gold	Block of Raw Gold	review needed
minecraft.packet.block.minecraft.raw_iron_block	Block of Raw Iron	Block of Raw Iron	review needed
minecraft.packet.block.minecraft.red_banner	Red Banner	Red Banner	review needed
minecraft.packet.block.minecraft.red_bed	Red Bed	Red Bed	review needed
minecraft.packet.block.minecraft.red_candle	Red Candle	Red Candle	review needed
minecraft.packet.block.minecraft.red_candle_cake	Cake with Red Candle	Cake with Red Candle	review needed
minecraft.packet.block.minecraft.red_carpet	Red Carpet	Red Carpet	review needed
minecraft.packet.block.minecraft.red_concrete	Red Concrete	Red Concrete	review needed
minecraft.packet.block.minecraft.red_concrete_powder	Red Concrete Powder	Red Concrete Powder	review needed
minecraft.packet.block.minecraft.red_glazed_terracotta	Red Glazed Terracotta	Red Glazed Terracotta	review needed
minecraft.packet.block.minecraft.red_mushroom	Red Mushroom	Red Mushroom	review needed
minecraft.packet.block.minecraft.red_mushroom_block	Red Mushroom Block	Red Mushroom Block	review needed
minecraft.packet.block.minecraft.red_nether_brick_slab	Red Nether Brick Slab	Red Nether Brick Slab	review needed
minecraft.packet.block.minecraft.red_nether_brick_stairs	Red Nether Brick Stairs	Red Nether Brick Stairs	review needed
minecraft.packet.block.minecraft.red_nether_brick_wall	Red Nether Brick Wall	Red Nether Brick Wall	review needed
minecraft.packet.block.minecraft.red_nether_bricks	Red Nether Bricks	Red Nether Bricks	review needed
minecraft.packet.block.minecraft.red_sand	Red Sand	Red Sand	review needed
minecraft.packet.block.minecraft.red_sandstone	Red Sandstone	Red Sandstone	review needed
minecraft.packet.block.minecraft.red_sandstone_slab	Red Sandstone Slab	Red Sandstone Slab	review needed
minecraft.packet.block.minecraft.red_sandstone_stairs	Red Sandstone Stairs	Red Sandstone Stairs	review needed
minecraft.packet.block.minecraft.red_sandstone_wall	Red Sandstone Wall	Red Sandstone Wall	review needed
minecraft.packet.block.minecraft.red_shulker_box	Red Shulker Box	Red Shulker Box	review needed
minecraft.packet.block.minecraft.red_stained_glass	Red Stained Glass	Red Stained Glass	review needed
minecraft.packet.block.minecraft.red_stained_glass_pane	Red Stained Glass Pane	Red Stained Glass Pane	review needed
minecraft.packet.block.minecraft.red_terracotta	Red Terracotta	Red Terracotta	review needed
minecraft.packet.block.minecraft.red_tulip	Red Tulip	Red Tulip	review needed
minecraft.packet.block.minecraft.red_wool	Red Wool	Red Wool	review needed
minecraft.packet.block.minecraft.redstone_block	Block of Redstone	Block of Redstone	review needed
minecraft.packet.block.minecraft.redstone_lamp	Redstone Lamp	Redstone Lamp	review needed
minecraft.packet.block.minecraft.redstone_ore	Redstone Ore	Redstone Ore	review needed
minecraft.packet.block.minecraft.redstone_torch	Redstone Torch	Redstone Torch	review needed
minecraft.packet.block.minecraft.redstone_wall_torch	Redstone Wall Torch	Redstone Wall Torch	review needed
minecraft.packet.block.minecraft.redstone_wire	Redstone Wire	Redstone Wire	review needed
minecraft.packet.block.minecraft.reinforced_deepslate	Reinforced Deepslate	Reinforced Deepslate	review needed
minecraft.packet.block.minecraft.repeater	Redstone Repeater	Redstone Repeater	review needed
minecraft.packet.block.minecraft.repeating_command_block	Repeating Command Block	Repeating Command Block	review needed
minecraft.packet.block.minecraft.respawn_anchor	Respawn Anchor	Respawn Anchor	review needed
minecraft.packet.block.minecraft.rooted_dirt	Rooted Dirt	Rooted Dirt	review needed
minecraft.packet.block.minecraft.rose_bush	Rose Bush	Rose Bush	review needed
minecraft.packet.block.minecraft.sand	Sand	Sand	review needed
minecraft.packet.block.minecraft.sandstone	Sandstone	Sandstone	review needed
minecraft.packet.block.minecraft.sandstone_slab	Sandstone Slab	Sandstone Slab	review needed
minecraft.packet.block.minecraft.sandstone_stairs	Sandstone Stairs	Sandstone Stairs	review needed
minecraft.packet.block.minecraft.sandstone_wall	Sandstone Wall	Sandstone Wall	review needed
minecraft.packet.block.minecraft.scaffolding	Scaffolding	Scaffolding	review needed
minecraft.packet.block.minecraft.sculk	Sculk	Sculk	review needed
minecraft.packet.block.minecraft.sculk_catalyst	Sculk Catalyst	Sculk Catalyst	review needed
minecraft.packet.block.minecraft.sculk_sensor	Sculk Sensor	Sculk Sensor	review needed
minecraft.packet.block.minecraft.sculk_shrieker	Sculk Shrieker	Sculk Shrieker	review needed
minecraft.packet.block.minecraft.sculk_vein	Sculk Vein	Sculk Vein	review needed
minecraft.packet.block.minecraft.sea_lantern	Sea Lantern	Sea Lantern	review needed
minecraft.packet.block.minecraft.sea_pickle	Sea Pickle	Sea Pickle	review needed
minecraft.packet.block.minecraft.seagrass	Seagrass	Seagrass	review needed
minecraft.packet.block.minecraft.set_spawn	Respawn point set	Respawn point set	review needed
minecraft.packet.block.minecraft.shroomlight	Shroomlight	Shroomlight	review needed
minecraft.packet.block.minecraft.shulker_box	Shulker Box	Shulker Box	review needed
minecraft.packet.block.minecraft.skeleton_skull	Skeleton Skull	Skeleton Skull	review needed
minecraft.packet.block.minecraft.skeleton_wall_skull	Skeleton Wall Skull	Skeleton Wall Skull	review needed
minecraft.packet.block.minecraft.slime_block	Slime Block	Slime Block	review needed
minecraft.packet.block.minecraft.small_amethyst_bud	Small Amethyst Bud	Small Amethyst Bud	review needed
minecraft.packet.block.minecraft.small_dripleaf	Small Dripleaf	Small Dripleaf	review needed
minecraft.packet.block.minecraft.smithing_table	Smithing Table	Smithing Table	review needed
minecraft.packet.block.minecraft.smoker	Smoker	Smoker	review needed
minecraft.packet.block.minecraft.smooth_basalt	Smooth Basalt	Smooth Basalt	review needed
minecraft.packet.block.minecraft.smooth_quartz	Smooth Quartz Block	Smooth Quartz Block	review needed
minecraft.packet.block.minecraft.smooth_quartz_slab	Smooth Quartz Slab	Smooth Quartz Slab	review needed
minecraft.packet.block.minecraft.smooth_quartz_stairs	Smooth Quartz Stairs	Smooth Quartz Stairs	review needed
minecraft.packet.block.minecraft.smooth_red_sandstone	Smooth Red Sandstone	Smooth Red Sandstone	review needed
minecraft.packet.block.minecraft.smooth_red_sandstone_slab	Smooth Red Sandstone Slab	Smooth Red Sandstone Slab	review needed
minecraft.packet.block.minecraft.smooth_red_sandstone_stairs	Smooth Red Sandstone Stairs	Smooth Red Sandstone Stairs	review needed
minecraft.packet.block.minecraft.smooth_sandstone	Smooth Sandstone	Smooth Sandstone	review needed
minecraft.packet.block.minecraft.smooth_sandstone_slab	Smooth Sandstone Slab	Smooth Sandstone Slab	review needed
minecraft.packet.block.minecraft.smooth_sandstone_stairs	Smooth Sandstone Stairs	Smooth Sandstone Stairs	review needed
minecraft.packet.block.minecraft.smooth_stone	Smooth Stone	Smooth Stone	review needed
minecraft.packet.block.minecraft.smooth_stone_slab	Smooth Stone Slab	Smooth Stone Slab	review needed
minecraft.packet.block.minecraft.sniffer_egg	Sniffer Egg	Sniffer Egg	review needed
minecraft.packet.block.minecraft.snow	Snow	Snow	review needed
minecraft.packet.block.minecraft.snow_block	Snow Block	Snow Block	review needed
minecraft.packet.block.minecraft.soul_campfire	Soul Campfire	Soul Campfire	review needed
minecraft.packet.block.minecraft.soul_fire	Soul Fire	Soul Fire	review needed
minecraft.packet.block.minecraft.soul_lantern	Soul Lantern	Soul Lantern	review needed
minecraft.packet.block.minecraft.soul_sand	Soul Sand	Soul Sand	review needed
minecraft.packet.block.minecraft.soul_soil	Soul Soil	Soul Soil	review needed
minecraft.packet.block.minecraft.soul_torch	Soul Torch	Soul Torch	review needed
minecraft.packet.block.minecraft.soul_wall_torch	Soul Wall Torch	Soul Wall Torch	review needed
minecraft.packet.block.minecraft.spawn.not_valid	You have no home bed or charged respawn anchor, or it was obstructed	You have no home bed or charged respawn anchor, or it was obstructed	review needed
minecraft.packet.block.minecraft.spawner._value	Monster Spawner	Monster Spawner	review needed
minecraft.packet.block.minecraft.spawner.desc1	Interact with Spawn Egg:	Interact with Spawn Egg:	review needed
minecraft.packet.block.minecraft.spawner.desc2	Sets Mob Type	Sets Mob Type	review needed
minecraft.packet.block.minecraft.sponge	Sponge	Sponge	review needed
minecraft.packet.block.minecraft.spore_blossom	Spore Blossom	Spore Blossom	review needed
minecraft.packet.block.minecraft.spruce_button	Spruce Button	Spruce Button	review needed
minecraft.packet.block.minecraft.spruce_door	Spruce Door	Spruce Door	review needed
minecraft.packet.block.minecraft.spruce_fence	Spruce Fence	Spruce Fence	review needed
minecraft.packet.block.minecraft.spruce_fence_gate	Spruce Fence Gate	Spruce Fence Gate	review needed
minecraft.packet.block.minecraft.spruce_hanging_sign	Spruce Hanging Sign	Spruce Hanging Sign	review needed
minecraft.packet.block.minecraft.spruce_leaves	Spruce Leaves	Spruce Leaves	review needed
minecraft.packet.block.minecraft.spruce_log	Spruce Log	Spruce Log	review needed
minecraft.packet.block.minecraft.spruce_planks	Spruce Planks	Spruce Planks	review needed
minecraft.packet.block.minecraft.spruce_pressure_plate	Spruce Pressure Plate	Spruce Pressure Plate	review needed
minecraft.packet.block.minecraft.spruce_sapling	Spruce Sapling	Spruce Sapling	review needed
minecraft.packet.block.minecraft.spruce_sign	Spruce Sign	Spruce Sign	review needed
minecraft.packet.block.minecraft.spruce_slab	Spruce Slab	Spruce Slab	review needed
minecraft.packet.block.minecraft.spruce_stairs	Spruce Stairs	Spruce Stairs	review needed
minecraft.packet.block.minecraft.spruce_trapdoor	Spruce Trapdoor	Spruce Trapdoor	review needed
minecraft.packet.block.minecraft.spruce_wall_hanging_sign	Spruce Wall Hanging Sign	Spruce Wall Hanging Sign	review needed
minecraft.packet.block.minecraft.spruce_wall_sign	Spruce Wall Sign	Spruce Wall Sign	review needed
minecraft.packet.block.minecraft.spruce_wood	Spruce Wood	Spruce Wood	review needed
minecraft.packet.block.minecraft.sticky_piston	Sticky Piston	Sticky Piston	review needed
minecraft.packet.block.minecraft.stone	Stone	Stone	review needed
minecraft.packet.block.minecraft.stone_brick_slab	Stone Brick Slab	Stone Brick Slab	review needed
minecraft.packet.block.minecraft.stone_brick_stairs	Stone Brick Stairs	Stone Brick Stairs	review needed
minecraft.packet.block.minecraft.stone_brick_wall	Stone Brick Wall	Stone Brick Wall	review needed
minecraft.packet.block.minecraft.stone_bricks	Stone Bricks	Stone Bricks	review needed
minecraft.packet.block.minecraft.stone_button	Stone Button	Stone Button	review needed
minecraft.packet.block.minecraft.stone_pressure_plate	Stone Pressure Plate	Stone Pressure Plate	review needed
minecraft.packet.block.minecraft.stone_slab	Stone Slab	Stone Slab	review needed
minecraft.packet.block.minecraft.stone_stairs	Stone Stairs	Stone Stairs	review needed
minecraft.packet.block.minecraft.stonecutter	Stonecutter	Stonecutter	review needed
minecraft.packet.block.minecraft.stripped_acacia_log	Stripped Acacia Log	Stripped Acacia Log	review needed
minecraft.packet.block.minecraft.stripped_acacia_wood	Stripped Acacia Wood	Stripped Acacia Wood	review needed
minecraft.packet.block.minecraft.stripped_bamboo_block	Block of Stripped Bamboo	Block of Stripped Bamboo	review needed
minecraft.packet.block.minecraft.stripped_birch_log	Stripped Birch Log	Stripped Birch Log	review needed
minecraft.packet.block.minecraft.stripped_birch_wood	Stripped Birch Wood	Stripped Birch Wood	review needed
minecraft.packet.block.minecraft.stripped_cherry_log	Stripped Cherry Log	Stripped Cherry Log	review needed
minecraft.packet.block.minecraft.stripped_cherry_wood	Stripped Cherry Wood	Stripped Cherry Wood	review needed
minecraft.packet.block.minecraft.stripped_crimson_hyphae	Stripped Crimson Hyphae	Stripped Crimson Hyphae	review needed
minecraft.packet.block.minecraft.stripped_crimson_stem	Stripped Crimson Stem	Stripped Crimson Stem	review needed
minecraft.packet.block.minecraft.stripped_dark_oak_log	Stripped Dark Oak Log	Stripped Dark Oak Log	review needed
minecraft.packet.block.minecraft.stripped_dark_oak_wood	Stripped Dark Oak Wood	Stripped Dark Oak Wood	review needed
minecraft.packet.block.minecraft.stripped_jungle_log	Stripped Jungle Log	Stripped Jungle Log	review needed
minecraft.packet.block.minecraft.stripped_jungle_wood	Stripped Jungle Wood	Stripped Jungle Wood	review needed
minecraft.packet.block.minecraft.stripped_mangrove_log	Stripped Mangrove Log	Stripped Mangrove Log	review needed
minecraft.packet.block.minecraft.stripped_mangrove_wood	Stripped Mangrove Wood	Stripped Mangrove Wood	review needed
minecraft.packet.block.minecraft.stripped_oak_log	Stripped Oak Log	Stripped Oak Log	review needed
minecraft.packet.block.minecraft.stripped_oak_wood	Stripped Oak Wood	Stripped Oak Wood	review needed
minecraft.packet.block.minecraft.stripped_spruce_log	Stripped Spruce Log	Stripped Spruce Log	review needed
minecraft.packet.block.minecraft.stripped_spruce_wood	Stripped Spruce Wood	Stripped Spruce Wood	review needed
minecraft.packet.block.minecraft.stripped_warped_hyphae	Stripped Warped Hyphae	Stripped Warped Hyphae	review needed
minecraft.packet.block.minecraft.stripped_warped_stem	Stripped Warped Stem	Stripped Warped Stem	review needed
minecraft.packet.block.minecraft.structure_block	Structure Block	Structure Block	review needed
minecraft.packet.block.minecraft.structure_void	Structure Void	Structure Void	review needed
minecraft.packet.block.minecraft.sugar_cane	Sugar Cane	Sugar Cane	review needed
minecraft.packet.block.minecraft.sunflower	Sunflower	Sunflower	review needed
minecraft.packet.block.minecraft.suspicious_gravel	Suspicious Gravel	Suspicious Gravel	review needed
minecraft.packet.block.minecraft.suspicious_sand	Suspicious Sand	Suspicious Sand	review needed
minecraft.packet.block.minecraft.sweet_berry_bush	Sweet Berry Bush	Sweet Berry Bush	review needed
minecraft.packet.block.minecraft.tall_grass	Tall Grass	Tall Grass	review needed
minecraft.packet.block.minecraft.tall_seagrass	Tall Seagrass	Tall Seagrass	review needed
minecraft.packet.block.minecraft.target	Target	Target	review needed
minecraft.packet.block.minecraft.terracotta	Terracotta	Terracotta	review needed
minecraft.packet.block.minecraft.tinted_glass	Tinted Glass	Tinted Glass	review needed
minecraft.packet.block.minecraft.tnt	TNT	TNT	review needed
minecraft.packet.block.minecraft.torch	Torch	Torch	review needed
minecraft.packet.block.minecraft.torchflower	Torchflower	Torchflower	review needed
minecraft.packet.block.minecraft.torchflower_crop	Torchflower Crop	Torchflower Crop	review needed
minecraft.packet.block.minecraft.trapped_chest	Trapped Chest	Trapped Chest	review needed
minecraft.packet.block.minecraft.tripwire	Tripwire	Tripwire	review needed
minecraft.packet.block.minecraft.tripwire_hook	Tripwire Hook	Tripwire Hook	review needed
minecraft.packet.block.minecraft.tube_coral	Tube Coral	Tube Coral	review needed
minecraft.packet.block.minecraft.tube_coral_block	Tube Coral Block	Tube Coral Block	review needed
minecraft.packet.block.minecraft.tube_coral_fan	Tube Coral Fan	Tube Coral Fan	review needed
minecraft.packet.block.minecraft.tube_coral_wall_fan	Tube Coral Wall Fan	Tube Coral Wall Fan	review needed
minecraft.packet.block.minecraft.tuff	Tuff	Tuff	review needed
minecraft.packet.block.minecraft.turtle_egg	Turtle Egg	Turtle Egg	review needed
minecraft.packet.block.minecraft.twisting_vines	Twisting Vines	Twisting Vines	review needed
minecraft.packet.block.minecraft.twisting_vines_plant	Twisting Vines Plant	Twisting Vines Plant	review needed
minecraft.packet.block.minecraft.verdant_froglight	Verdant Froglight	Verdant Froglight	review needed
minecraft.packet.block.minecraft.vine	Vines	Vines	review needed
minecraft.packet.block.minecraft.void_air	Void Air	Void Air	review needed
minecraft.packet.block.minecraft.wall_torch	Wall Torch	Wall Torch	review needed
minecraft.packet.block.minecraft.warped_button	Warped Button	Warped Button	review needed
minecraft.packet.block.minecraft.warped_door	Warped Door	Warped Door	review needed
minecraft.packet.block.minecraft.warped_fence	Warped Fence	Warped Fence	review needed
minecraft.packet.block.minecraft.warped_fence_gate	Warped Fence Gate	Warped Fence Gate	review needed
minecraft.packet.block.minecraft.warped_fungus	Warped Fungus	Warped Fungus	review needed
minecraft.packet.block.minecraft.warped_hanging_sign	Warped Hanging Sign	Warped Hanging Sign	review needed
minecraft.packet.block.minecraft.warped_hyphae	Warped Hyphae	Warped Hyphae	review needed
minecraft.packet.block.minecraft.warped_nylium	Warped Nylium	Warped Nylium	review needed
minecraft.packet.block.minecraft.warped_planks	Warped Planks	Warped Planks	review needed
minecraft.packet.block.minecraft.warped_pressure_plate	Warped Pressure Plate	Warped Pressure Plate	review needed
minecraft.packet.block.minecraft.warped_roots	Warped Roots	Warped Roots	review needed
minecraft.packet.block.minecraft.warped_sign	Warped Sign	Warped Sign	review needed
minecraft.packet.block.minecraft.warped_slab	Warped Slab	Warped Slab	review needed
minecraft.packet.block.minecraft.warped_stairs	Warped Stairs	Warped Stairs	review needed
minecraft.packet.block.minecraft.warped_stem	Warped Stem	Warped Stem	review needed
minecraft.packet.block.minecraft.warped_trapdoor	Warped Trapdoor	Warped Trapdoor	review needed
minecraft.packet.block.minecraft.warped_wall_hanging_sign	Warped Wall Hanging Sign	Warped Wall Hanging Sign	review needed
minecraft.packet.block.minecraft.warped_wall_sign	Warped Wall Sign	Warped Wall Sign	review needed
minecraft.packet.block.minecraft.warped_wart_block	Warped Wart Block	Warped Wart Block	review needed
minecraft.packet.block.minecraft.water	Water	Water	review needed
minecraft.packet.block.minecraft.water_cauldron	Water Cauldron	Water Cauldron	review needed
minecraft.packet.block.minecraft.waxed_copper_block	Waxed Block of Copper	Waxed Block of Copper	review needed
minecraft.packet.block.minecraft.waxed_cut_copper	Waxed Cut Copper	Waxed Cut Copper	review needed
minecraft.packet.block.minecraft.waxed_cut_copper_slab	Waxed Cut Copper Slab	Waxed Cut Copper Slab	review needed
minecraft.packet.block.minecraft.waxed_cut_copper_stairs	Waxed Cut Copper Stairs	Waxed Cut Copper Stairs	review needed
minecraft.packet.block.minecraft.waxed_exposed_copper	Waxed Exposed Copper	Waxed Exposed Copper	review needed
